Name;URL;Description;Category;Attack Type;Encryption Type;noteworthy
3WiFi Database;https://github.com/binarymaster/3WiFi/;Collect data from Router Scan log reports, search for access points, obtain its geolocation coordinates, and display it on world map;InfoGath;;;
802.11 frames;https://supportforums.cisco.com/t5/wireless-mobility-documents/802-11-frames-a-starter-guide-to-learn-wireless-sniffer-traces/ta-p/3110019/;A starter guide to learn wireless sniffer traces;Info;;;
802.11 Wireless Networks: The Definitive Guide;http://my.safaribooksonline.com/book/networking/wireless/0596001835/802dot11-framing-in-detail/wireless802dot11-chp-4-sect-3/;Partly open chapters of O‘Reilly 802.11 book;Info;;;
802.11p-iw ;https://github.com/CTU-IIG/802.11p-iw/;Wireless configuration tool (UNIX);Config;;;
802.11p-wireless-regdb ;https://github.com/CTU-IIG/802.11p-wireless-regdb/;Wireless regulatory database for CRDA ;Info;;;
80211 Pocket Reference Guide;http://www.willhackforsushi.com/papers/80211_Pocket_Reference_Guide.pdf;Cheat Sheet for 802.11;Info;;;
80211_raw;https://github.com/MinimumLaw/80211_raw/;Sender and receiver for WiFi (IEEE802.11) network with raw sockets ;Lib;;;
80211mgmtDoS;https://github.com/phildom/80211mgmtDoS/;802.11 DoS Attacks based on unprotected Management frames;Attack;DoS;;
80211p_raw;https://github.com/allanmatthew/80211p_raw/;Raw socket utilities for 802.11p transmission;Lib;;;
80211ping;https://github.com/tillwo/80211ping/;Linux command-line tool to ping 802.11 stations (e.g. any WiFi device);Misc;;;
80211scrambler;https://github.com/travisgoodspeed/80211scrambler/;Small collection of tools in Verilog for working;Attack;;;
access_points;https://github.com/kootenpv/access_points/;Scan your WiFi and get access point information and signal quality;InfoGath;;;
Accumulation-rssi;https://github.com/h3pr5tq/accumulation-rssi/;Linux utility for accumulation of WiFi RSSI to text file. Using nl80211, Managed mode. Useful for experiments with WiFi (example, localization);InfoGath;;;
acs;https://github.com/mcgrof/acs/;Automatic Channel Selection utility;Misc;;;
Aerial;https://github.com/Nick-the-Greek/Aerial/;Multi-mode wireless LAN Based on a Software Access point for Kali Linux.;Attack;RogueAP;;
agentapd;https://github.com/mengning/agentapd/;Agent of WiFi hardware;Config;;;
Aggr-inject;https://github.com/rpp0/aggr-inject/;Remote frame injection PoC by exploiting a standard compliant A-MPDU aggregation vulnerability in 802.11n networks. ;Attack;Injection;;
AIRBASE-NG-SSLSTRIP-AIRSTRIP- ;https://github.com/MrMugiwara/AIRBASE-NG-SSLSTRIP-AIRSTRIP-/;AIRBASE-NG + SSLSTRIP = AIRSTRIP;Attack;RogueAP;;
Aircrack-db;https://github.com/SaltwaterC/aircrack-db/;A list of wireless cards tested with the dual-card injection test and in the field;Attack;Injection;;
Aircrack-ng;https://github.com/aircrack-ng/aircrack-ng/;WiFi security auditing tools suite;Attack;Encryption;WPA/WPA2;Note
Airfree-wt;https://github.com/rednaks/airfree-wt/;Wireless Security Toolkit;Misc;;;
airgeddon;https://github.com/v1s1t0r1sh3r3/airgeddon/;This is a multi-use bash script for Linux systems to audit wireless networks;Attack;;;Note
AirLibre;https://github.com/nathanshimp/AirLibre/;Python API For UBNT AirOS Devices ;Config;;;
airmode;https://github.com/parrotsec/airmode/;AirMode is a GUI that can help you to use the Aircrack framework;Attack;Encryption;WPA/WPA2;
airodump_mar_attack;https://github.com/maroviher/airodump_mar_attack/;Maroviher attack;Attack;;;
airodump_mod;https://github.com/maroviher/airodump_mod/;Improved version of airodump-ng with ability to kick-off a stations from AP;Attack;DoS;;
Airodump-iv;https://github.com/ivanlei/airodump-iv/;A python implementation of airodump-ng;Attack;Sniff;;
Airodump-logger;https://github.com/atiti/airodump-logger/;Logging clients with airodump-ng;Attack;Sniff;;
airoscriptng;https://github.com/wi-fi-analyzer/airoscriptng/;Airoscript-ng python complete implementation;Attack;Encryption;WPA/WPA2;
airown;https://github.com/sh0/airown/;Packet injection tool;Attack;Injection;;
AirPirate;https://github.com/gat3way/AirPirate/;Android 802.11 pentesting tool ;Attack;;;
Airport-sniffer;https://github.com/zhovner/airport-sniffer/;Very simple Wi-Fi sniffer and dump parser for built-in macbook AirPort Extreme card. Only native MacOS tools used. ;Attack;Sniff;;
Airpwn-ng;https://github.com/ICSec/airpwn-ng/;New and improved version of airpwn;Attack;Injection;;
airscan;https://github.com/trou/airscan/;Wi-Fi scanning utility for the Nintendo DS;InfoGath;;;
airspf;https://github.com/davll/airspf/;AirSpoof/Airpwn ??;Attack;;;
airtraf;https://github.com/saintkepha/airtraf/;Wireless 802.11 network sniffer and analyzer;Attack;Sniff;;
Airvengers;https://github.com/hiteshchoudhary/Airvengers/;A GUI to pentest wifi Network, based on Aircrack-ng tools;Attack;Encryption;WPA/WPA2;
airview;https://github.com/Crypt0s/airview/;A python web application compliment to py80211 which allows you to visualize the airwaves around you with your web browser. ;Visual;;;
airxploit;https://github.com/balle/airxploit/;Wireless discovery and exploitation framework written in Python;Attack;;;
android_packetspammer;https://github.com/bcopeland/android_packetspammer/;Packetspammer sends unencrypted broadcast packets down a mac80211 wireless interface that should be set for Monitor mode;Attack;DoS;;
Ap-notify;https://github.com/doctaweeks/ap-notify/;An example of using the Linux kernel netlink protocol, specifically nl80211 via libnl/libnl-genl, to catch stations associating/disassociating with an 802.11 AP;Misc;;;
apbleed;https://github.com/vanhoefm/apbleed/;Allows you to use existing heartbleed tools to test the RADIUS server;Attack;Encryption;;
apflood;https://github.com/d4rkcat/apflood/;Flood area with fake essids;Attack;DoS;;
Armory;https://github.com/justinbeatz/Armory/;The 802.11 Hacking Repo (Meta Information, Link collection);Info;;;
asleap;https://github.com/0x90/wifi-arsenal/tree/master/asleap/;Recovers weak LEAP password.  Pronounced asleep.;Attack;Encryption;WPA/WPA2;
AtEar;https://github.com/NORMA-Inc/AtEar/;Wireless Hacking, WiFi Security, Vulnerability Analyzer, Pentestration;Attack;;;
ath9k-4w-patch;https://github.com/rboninsegna/ath9k-4W-patch/;Resources for increasing power of ath9k devices, such as TP-link WN722N;Misc;;;
Ath9k-nav;https://github.com/hughobrien/ath9k-nav/;Linux kernel module to poll the NAV register on Atheros 9k series WLAN cards. ;Misc;;;
Atheros-AR9271 ;https://github.com/aaronkish/Atheros-AR9271/;Kernel Extension for AR9271 chipset (Wireless USB Card);Config;;;
AtherosROMKit ;https://github.com/andyvand/AtherosROMKit/;Atheros ROM modding and recovery kit ;Config;;;
autokwaker;https://github.com/pasdesignal/autokwaker/;Creating an auto cracker for 802.11 networks;Attack;Encryption;WPA/WPA2;
autoreaver;https://github.com/0x90/auto-reaver/;Automatically exported from code.google.com/p/auto-reaver;Attack;Encryption;WPS;
Awesome-wifi-security;https://github.com/edelahozuah/awesome-wifi-security/;A collection of awesome resources related to 802.11 security, tools and other things;Info;;;
badkarma;https://github.com/atechdad/badkarma/;BadKarma is a simple python script used to detect and disrupt rouge access points/honeypots using the karma attack such as the wifi pineapple;Defend;;;
banjax;https://github.com/0x90/banjax/;Library for low-level programming of IEEE 802.11 wireless network interfaces on the GNU/Linux operating system;Lib;;;
